Index,BanyuleCityCouncil,BaysideCityCouncil,BoroondaraCityCouncil,BrimbankCityCouncil,CaseyCityCouncil,DarebinCityCouncil,FrankstonCityCouncil,GlenEiraCityCouncil,GreaterDandenongCityCouncil,HobsonsBayCityCouncil,HumeCityCouncil,KingstonCityCouncil,KnoxCityCouncil,MacedonRangesShireCouncil,ManninghamCityCouncil,MaribyrnongCityCouncil,MaroondahCityCouncil,MelbourneCityCouncil,MeltonCityCouncil,MonashCityCouncil,MooneeValleyCityCouncil,MorelandCityCouncil,NillumbikShireCouncil,PortPhillipCityCouncil,StonningtonCityCouncil,WhitehorseCityCouncil,WhittleseaCityCouncil,WyndhamCityCouncil,YarraCityCouncil
1439,0.687803472965188,0.539544070446877,0.657723644144515,0.922352069788495,0.0541313472142211,0.807094066331989,0,0.634700847666859,0.218068471730722,0.752551230351411,0.737758209200889,0.360011521685458,0.319171261624558,0.279421446794503,0.582030285573204,0.920356349271665,0.347461114311579,0.820693770060077,0.641943049954736,0.439614023537158,1,0.925067895646449,0.62766438976216,0.79777384577401,0.723397251255041,0.477759032178422,0.658793514937042,0.487161550489672,0.810653444160974
1440,0.680367933672943,0.540866624043558,0.659001381813682,0.903747396209293,0.0544888320580773,0.798812052715161,0,0.636768618392559,0.219027780642234,0.743106399653515,0.692144286097304,0.361354589890074,0.31818838039062,0.23055664404892,0.579248045867965,0.917709901623116,0.344071606822447,0.823230969125745,0.598222203889702,0.44017984201951,1,0.913605708746674,0.615340194278879,0.799595767937798,0.725699672077052,0.475900756903912,0.639470373502176,0.465361849567925,0.812362076432858
1441,0.742132930078491,0.628621492522983,0.76961666786683,0.887496699551139,0.068769352631958,0.863037373082739,0,0.745661409951753,0.260699455125897,0.778401862653321,0.573942056119632,0.424401718633734,0.366913900290439,0.0257555027483738,0.655961210724659,0.984205851995871,0.384316267012314,0.963202995607403,0.465759343270685,0.514581983149708,1,0.944216413432227,0.64307145771825,0.925061808405943,0.849499531936343,0.543193874366914,0.633134106238448,0.406663306209645,0.94726482801661
1442,0.677573293387545,0.561202653541622,0.677573293387545,0.90181895998288,0.0529210357372137,0.79638347956345,0,0.659726086026107,0.224588059062701,0.756537556173764,0.634175048148941,0.374341964476781,0.320072758399315,0.156366359940081,0.584271346030387,0.945195805692275,0.3407019045581,0.852578643269848,0.548833725658035,0.450203295527498,1,0.903466723732078,0.601241172694201,0.829659747485555,0.751701262572223,0.480162636421999,0.613545901990156,0.451187673871175,0.836357800128397
1443,0.703898280831579,0.536069829718514,0.659948077434126,0.920153723502116,0.0587092949569696,0.823074878881416,0,0.632412763956745,0.220589137145077,0.747480529037797,0.782006991148633,0.359042498824588,0.327173490872667,0.321817698644698,0.592326090067254,0.912508432306466,0.359655757476645,0.817616876878105,0.669923751507594,0.443978822134549,1,0.942128825200842,0.649992845315726,0.792371062368405,0.720783335718228,0.487009137553916,0.68815797542877,0.491240622253112,0.81134119667205
1444,0.718312727865246,0.53392264293134,0.664786035806668,0.904922907713302,0.0647493736888198,0.837077621850622,0,0.632421532883883,0.224922092999572,0.734708841680754,0.792614620037884,0.359696111778724,0.336639713220767,0.326150273947492,0.603438091940444,0.902662077112655,0.372100128317412,0.81701529625028,0.662667780108764,0.450516324826364,1,0.955699940933255,0.667433855429049,0.78850031570157,0.72065502983889,0.497423467828991,0.70784365643522,0.477014888893415,0.814693362119885
1445,0.693538122109551,0.555942127370699,0.684246255674827,0.862913148627434,0.0620942763799907,0.811553311553312,0,0.658386015528873,0.230854087996945,0.726271797700369,0.622958122958123,0.374474945903517,0.332937332937333,0.139187067758496,0.598328312614027,0.915821630107344,0.356591285162714,0.850672493529636,0.518117018117018,0.459162459162459,1,0.915524629810344,0.618015189443761,0.820187534473249,0.750201535915822,0.493699350842208,0.628240485383343,0.417646060503203,0.842017056302771
1446,0.698691255205235,0.556620209059233,0.687579671963967,0.85831137928104,0.0640350131724314,0.816924449732302,0,0.660087532931078,0.232748364069007,0.722805302965922,0.622461120081584,0.375647998640265,0.336385654797314,0.136228435455086,0.602829948160109,0.912785756777428,0.360690915271522,0.852659981303646,0.513852298801734,0.462267357865216,1,0.920455511175321,0.623056004079205,0.820663720574488,0.752082093991672,0.497769185008923,0.632871590039942,0.412679527492139,0.8455213733322
1447,0.694753577106518,0.534303534303534,0.66100036688272,0.879336349924585,0.0615955321837675,0.812726753903224,0,0.632424279483103,0.222881252293017,0.721984427866781,0.701846643023114,0.359606212547389,0.327932004402593,0.237067384126208,0.589784354490237,0.897456279809221,0.357445680975093,0.817170111287758,0.589091353797236,0.445497533732828,1,0.928580163874282,0.633545310015898,0.788940524234642,0.72065957360075,0.485997309526721,0.659960865843219,0.446129387305858,0.812033753210224
1448,0.743790821588175,0.560974561705053,0.711541766930217,0.839571158473702,0.0783559642488829,0.865331729116535,0,0.671300275008594,0.24654090752836,0.704645067033345,0.642080611894122,0.383722928841526,0.363312134754211,0.138471124097628,0.639137160536267,0.896742866964593,0.394164661395669,0.863892231007219,0.504275524235132,0.485454623581987,1,0.971403403231351,0.670333447920248,0.822426091440358,0.764094190443451,0.530165005156411,0.681075971124098,0.38836369886559,0.869027157098659
